0	[2355635,1107001,0001605,0748973,0000317,0722223,0687321,0001650,0001653,0491402,0001258,0896742,0000288,0638056,0001092,0383422,0641610,0000146,0724593,0001152,0000171,0046033,0771414,0006969,0725200,0006670,0224007,0129538,0440885,0751638,0161980,0001378,0000279,0001804,0569079,0001806,0000413,0001557,0206257,0001803,0000418,1057928,0384211,0045209,0519043,0507212,0295103,0000601,0164682,1024677,0000604,0296546,0000609,0582418,0001006,0950867,0001001,0608012,0420955,0005315,1320827,5052065,0350079,0000230,0001831,0000233,0000236,0000237,0005078,0005348,0001484,0000289,0156940,0005162,0935653,0270139,0001711,0315041,0947338,0001714,0000434,0000732,0913585,0005377,0000686,0031055,0550371,0001505,0269463,0001507,0000198,0287182,0000998,0000445,0000210,0045937,0303013,0959242,0319142,1063517,1165110,0000123,0480775,0001132,0570912,0000217,0607703,0636946,1374980,0143344,0642145,0071818,0307621,0360106,0291881,0667326,0000667,0000532,0000525,0001832,0001431,0004873,0000535,0431918,0822812,0525921,0000437,0195844,0000435,0000199,0898634,0748620,0571106,1475594,0000741,0000215,0000191,0000190,0000661,0001744,0000195,0000194,0000665,1293885,0456124,0733427,0202966,0644406,0728346,0001497,0001458,0005182,0640891,0123632,0026879,0910145,0785938,0307531,0878152,0419273,0059630,1411676,0017377,0878155,0001633,0000327,0564402,0799777,0000285,0498278,0000286,1020089,0001735,0000469,0736622,0001447,0191906,0001114,0507097,0582939,0001449,0541908,0541909,1111656,3042755,0588777,0000106,0000104,0940362,0000102,0184445,0340359,0000101,0086840,0574513,0265670,0000902,0035488,2395586,0000867,0001550,0001599,0001848,0005405,0182456,0001025,0852466,0363641,0005403,0001185,0000514,0002230,0569501,0000513,0000362,0919798,0000657,0776584,0001363,0925930,0001765,0001368,0911589,0002064,0401945,0656929,0000666,0001164,0000623,0000715,0762153,0676649,0000630,0079273,0333410,0003140,0662981,0001828,0553269,0608405,0864222,0000243,0000553,0000197,0000982,0000345,0472710,1802209,0001967,0000349,0913460,0001616,1212722,0000244,0001459,0000323,0641168,0853122,0132257,0236519,0000168,0003482,0001201,0000245,0802831,0000246,0000249,0000161,0227759,0000164,0841910,0005109,0419633,0152839,0000163,0141697,0798971,0001632,1139632,0454236,0416673,0004778,0006713,1442113,0240797,0546816,0000640,0000330,0366389,0000649,1560199,0482851,2002649,0321835,0577329,0908914,0001664,0000701,0000702,0000704,0001661,0864997,0000707,0698413,0000499,0068338,0004266,0005092,0000490,0557874,0001401,0688132,0222881,0908685,0359029,0005212,0719637,0001543,0000799,0942482,0005218,0056187,0891485,0000401,0534134,0000407,0002546,0048414,0379200,0000408,0001562,0001548,0852132,0949350,0387987,0059215,0000140,0001162,1265067,0851317,0001019,0001018,0001016,0000148,0352778,0252961,0001406,0621597,0082450,0000228,0001311,0000136,0290556,0101005,0000221,0171470,0909768,0891786,0000949,0005048,0005049,0611889,2106637,0528331,4535518,0818055,0184392,0000347,0733162,0001705,0347039,0362766,1065229,0000138,0086553,0805476,0001242,0005169,0692466,1046097,0663177,0000150,0379056,0005143,0397555,0767741,2554352,0001086,0000134,0823563,0000131,0740535,0441588,0369513,0001367,0000139,0744834,0000837,0001601,0065418,0177896,0001787,1018295,0028690,0608714,0005003,1159180,3732165,0000800,0005562,0189144,0074036,0000205,0137506,0539651,0000200,0000619,0000616,0004965,0000614,0001737,0000610,0333689,0000412,0001235,0005148,1218757,0148418,0354937,0000151,0005068,0731168,0694066,0005460,0310966,0893247,0000547,0644022,0588241,0004908,0001646,0005265,0004715,0906000,0001728,0000725,0000681,0001724,0000729,0683467,0004395,0732497,0001457,0165101,0000597,0628170,0001254,0001100,1676221,0123553,0703800,0000450,0001108,0000980,0000453,0000111,0262052,0000115,0000114,0261729,0000204,0249291,0000093,0365281,0242656,2368789,1519500,0397171,0005417,0825401,1089685,0005561,0001424,0866300,0000529,0933096,0000422,0408284,0001855,0839486,0000678,0085312,0001758,1009277,0829032,0000670,0000671,0000673,1886602,0001698,0272401,0167024,1672246,0048273,0146146,0000491,0077720,0003620,0001609,0614165,0557856,0503627,0000997,0857620,1443527,0364813,0754512,1325419,0781981,0000353,0717518,0000299,0001624,0033977,0000354,0254862,1019674,0177933,0205290,0001475,0000579,0333318,0191520,0001573,0014519,0267724,0237222,0000276,0001068,0000454,0665101,0000172,0583951,0647634,0000177,0462712,0673229,0000174,0000531,0000291,0124930,0005134,0724665,0000870,0059431,0446702,0414772,0001199,1102891,0665830,0000502,0397212,0001191,0429363,2159926,0001194,0424060,0178874,0496945,0702572,0731772,0566234,0002071,0001675,1144419,0001673,0000389,0665114,0707476,0000884,0001644,0003817,0341055,0055549,0740951,0327072,0000569,0754676,0136797,0000129,0001570,0000474,0001285,0000379,0000473,0000576,0000375,0005190,0109359,0854702,0001606,0001288,1706767,0000155,0006610,0689237,0000156,0071304,0097842,0000621,0000620,0001413,0000095,0000144,0000552,0000158,0000092,0788340,0000397,0180984,0749263,0861513,0001303,0001302,0304948,2225369,0000255,0177639,0726223,0005467,3772243,0429069,0000275,0764445,3078932,0532235,0001674,0000179,0000582,0911320,2665507,0000653,0001774,0001772,0001773,0915208,0004695,3848723,0000658,0005450,0004517,0506405]
1	[0324556,0881672,0152839]
2	[0861752,0000216,0740951,0000902,0455437,0910145,0001598]
3	[0000274,0000630,0005085]
4	[0000473,0001737,0000188,0506405]
5	[0000274,0001305,0402358,0037118]
6	[0000582,0000154,0943888,0328987,0938159,0569079,0385649,0000418,0808077,0363594]
7	[0324556,0725894,0044762,0768324,0882588,0910145]
8	[0000719,0000640,0000172,0001606,0000225]
9	[0186505,0000158,0001854]
