0	[3014081,5801090,108703,5548632,4766432,2948463,6455317,3764108,114177,6545104,6600863,5416338,469928,2678364,5102780,6388724,3286145,4492426,3219947,4597836,3582715,1305056,381043,4472415,2831141,5137870,2305508,1591432,5341176,1315402,5218156,933612,6330457,2378090,3845763,1976643,820660,7014467,2502276,2502275,2356237,1040127,2998353,4152547,660244,5450420,932847,2676738,3453514,2468237,2963760,3098424,1887818,2795989,322282,4870473,4574961,5375536,701818,1251245,3204509,2547611,6825817,1807392,344196,6284241,6923722,990415,7637932,5238172,6932932,4168892,3690152,6049834,4338070,6688403,3076752,1005663,4860212,115,1940953,2163847,280850,2302367,5857646,5302698,7243832,77512,4786981,5451081,5064101,4305826,3605836,2404349,4229277,4476832,1096712,975225,1881080,3878711,1897496,5890344,3513760,2706987,4206690,6609111,2744237,5254672,6639701,4685775,2281637,2356508,5779376,5362352,1815608,6431321,2282924,246,3945152,7026377,2684369,4275920,1947550,6429650,2706788,7011576,666517,3404215,566279,352513,1908927,263625,3182681,1938969,2576863,4480637,5090072,7797494,3863312,2056936,1569488,2832704,2591895,5196287,3671362,3979145,6812568,2448633,5307554,3125612,715788,5022450,4987843,341174,1476783,629634,6324870,1990230,7680705,4650037,1885015,159609,197058,5815595,281693,6208245,1591232,2477992,1767280,3083875,1419241,6297951,6652600,5457419,1959019,2958419,1891863,1928260,2313440,4615536,1517407,4460264,658152,147312,1962017,6867344,2519780,1914282,930061,5215140,4516095,3733933,947742,2925573,4363694,6140184,33165,3187553,1979259,2749436,2393583,4230755,1551999,6204946,5763676,1782876,4504897,3834161,2467078,5566975,1736710,6601529,4938931,5972904,5041286,2551736,1778587,853566,3861,3034273,1208510,2803896,2082525,2374610,7407816,840285,599907,3069,3409270,2356797,1770183,2837726,4614651,2931894,5301845,2217844,5646304,3363398,1683193,6825023,2885597,3762501,4030055,5454624,2790180,4731168,5237201,303316,3982454,387900,1648743,3649055,6053751,2758676,2732159,2880343,3681508,5095287,2669049,2875453,1733117,3657833,1694797,3824607,5037761,6644386,4792767,6066408,6873070,6898238,878807,4158239,7175572,1664127,2426419,2932094,3785597,3417496,741893,4377706]
1	[15907,5664097,3927383,6684214,4056050,3998533,3984374,3982621,6827483,1283209,3096946,3864537,4473191,5467592,5224790,3992401,154728,6059922,3004200,4530384,3512591,2542413,3587960,1759449,3682346,1034481,3263226,6283590,174252,5265,1705,3096939,1881743,3627344,2728454,2186275,2488465,2653515,3121909,416673,2501560,165825,2153711,7768049,6926455,3725085,7243419,3578998,4092658,4558762,5535451,2622717,3163218,4291105,7269050,163703,1369571,2154195,6139029,3880598,4619754,2608420,725975,2180419,2555012,6143975,528149,5882938,4817232,1141100,6085634,6725774,5613528,1062195,6731951,5279863,5616401,6134323,1971248,4035779,2636836,6554157,5860659,2852924,6067658,5222941,6497858,3990096,237222,4437821,3039524,2674188,1152992,3603628,4024978,2802473,3574141,2325458,447376,4782621,1585038,1543089,4098984,1089398,4082182,262301,4825396,6042562,5110234,227874,3208214,6262774,2735460,2924997,2453729,5901148,5172406,2185188,3077057,5886710,2835839,2865453,4707354,2502754,5131058,4596873,332942,6916495,154914,912647,5450,4819572,3976572,4439147,748973,5096634,3241158,2279227,4481516,878155,4693894,5195569,2100898,3720966,4304151,3785197,6639338,4494587,2871160,4510266,1191,6584798,877599,4685068,2016707,2242385,6753439,6741220,5241466,4100566,4099195,1182080,6395310,4465984,2460265,569289,4322835,7147345,2684211,303284,5296544,5528958,3409681,2728461,635847,6000961,665830,3643116,3539674,6093472,6998071,4714035,2909368,4099356,3726530,5836233,5508146,3772149,267772,6731963,6668463,1924756,184445,841910,3899420,1463169,114,3413370,5857646,4066642,5345545,7181059,2194611,3075140,4889792,6779676,4578554,4644982,2253765,668679,7494652,6812221,5686451,864490,6731945,5104141,2305137,5661359,521781,2315863,2490721,1814166,6354402,1566354,2269029,7282284,2437062,2883904,2976898,6625817,4449136,646496,4080079,923902,1020877,240797,4217229,2452869,3262618,4562425,3984816,7510944,3599667,379056,4679754,4582343,2959080,3647254,6334390,4874683,3951683,743735,6338912,6286101,7196958,3246446,5326614,1370807,2331994,4100633,4101059,164873,2648761,1987569,4084424,3449807,4198093,1303155,1676221,2873452,4371164,4930389,4190344,4820314,2902428,7236038,4553772,1076079,3157537,1895632,5687602,1484,3145447,5280225,200601,4098925,7111681,2950640,5218,928560,1008015,4488891,1863451,3055893,6452660,2007000,4099787,4072891,2773552,3033469,111445,6339290,5521576,4451774,1573849,5244541,4726046,3644754,3011374,5202431,778769,367445,1806,3576458,6166435,5344055,884230,2782582,4663027,5175557,4699234,333605,5167269,3433646]
2	[151,146,215,155,158,190,164,168,228,177,687321,1832,1804,97842,323,401,1475,724665,658,1673]
3	[5556293,5584378,5801524,5570254]
4	[741,86840,155,254862,363641,582418,158,71818,317,569680,296546,628170,919798,33977,3732165,191520,184748,123553,267724,911589,698413,672330,1773,851317,194201,4517,152839,163703,242656,347,1507,454236,307531,831254,349,911320,1102891,534134,705014,528802,47663,191906,482851,853122,74036,422,298412,352778,1728,1431,354937,866300,607703,164682,532,474,224007,434,440885,667326,46033,346415]
5	[2238217,2370389,191450,3246859,5356479,2403319,5039188,565117,2450269,2803854,4345277,2929565,2830634,6004313,2674188,1622877,553440,2171261,2665507,2782582,861574,4122314,1380939,1946675]
6	[997,184392,1803,261724,583951,616,5068,1474,1744,751638,514]
7	[217,898634,134,778737,778734]
8	[136797,462712,1144419,732497,189144,736622,2554352,748620,59431,272401,1065229,2002649,4715,124930,352778,2395586,688132,1325419,4395,290556,2071,1706767]
9	[2506300,4701008,5855226,5360921,4797671,5687164,6847003,6620079,4051209,5195435]
