0	[3014081,0660244,5801090,6429650,4766432,3845763,2963760,3764108,6545104,6600863,2678364,5254672,4685775,4492426,4597836,3582715,1305056,5137870,5307554,5341176,3125612,6330457,0077512,7014467,1040127,6053751,4152547,5450420,2676738,3453514,6455317,0003861,2305508,2795989,4870473,5375536,0947742,0003069,1251245,3204509,6825817,0820660,6284241,6923722,0930061,2393583,6932932,0033165,6049834,4338070,6688403,4860212,2163847,0566279,5302698,7243832,4786981,5451081,5064101,2404349,4476832,1897496,5890344,3513760,0878807,4206690,6609111,2744237,0840285,6639701,6388724,5362352,6431321,3945152,2684369,6208245,2706788,7011576,0975225,3404215,4230755,1733117,2576863,4480637,5090072,7797494,2056936,3824607,1947550,5196287,3671362,6812568,4363694,0341174,4987843,1476783,5238172,6324870,0701818,7680705,1885015,3863312,1591232,1419241,6297951,6652600,4460264,0853566,2958419,1891863,4615536,1517407,0114177,2519780,0159609,6140184,7637932,4792767,1551999,0147312,2932094,5763676,3834161,0933612,5972904,2448633,1778587,3034273,4168892,1208510,2374610,7407816,5102780,0263625,0344196,2931894,5301845,5646304,3363398,6825023,4030055,5454624,1648743,3649055,0599907,2998353,2758676,3681508,5095287,0629634,1694797,5037761,6644386,4516095,6066408,7175572,1664127,3785597,4377706]
1	[5241466,4100566,4099195,4439147,0154728,4322835,6827483,3096946,3864537,4473191,2684211,5296544,4578554,5528958,3409681,2728461,2253765,2542413,3512591,3643116,3539674,6998071,3587960,4714035,3682346,4099356,3726530,3992401,5508146,3772149,3263226,6283590,2453729,3998533,1881743,3627344,2488465,3899420,3121909,0262301,2501560,0267772,2153711,4488891,5860659,3413370,5857646,4066642,5345545,2194611,3075140,4092658,6779676,4558762,5535451,3163218,4644982,4291105,2653515,6812221,6731945,1369571,2305137,6139029,3880598,2315863,1814166,6354402,2608420,4035779,2555012,4619754,3077057,2437062,1141100,2883904,4817232,4449136,4080079,6395310,3603628,0227874,4217229,2924997,6134323,2016707,6668463,2852924,6067658,6497858,4679754,4582343,3039524,2959080,2674188,1152992,6334390,4874683,3574141,6286101,2325458,4084424,1585038,1089398,4082182,4101059,6042562,3785197,5664097,3449807,5224790,2154195,0635847,2735460,4371164,4190344,4820314,5172406,2902428,7236038,1863451,1076079,5886710,2835839,3157537,1895632,6731963,4707354,2502754,5131058,3145447,5280225,4098925,4596873,7111681,2950640,6916495,0877599,2865453,5104141,7494652,3241158,3055893,4481516,2007000,4099787,4072891,2773552,3033469,5521576,5244541,5202431,2100898,3720966,4304151,2648761,4198093,0447376,6639338,4494587,2871160,2782582,5175557,4726046,1034481,2976898,3433646,2242385]
2	[0200601,0367445,0379056,3927383,2490721,0521781,0174252,0000114,0184445,0841910,0005450,0001484,0665830,0333605,0416673,0864490,0163703,0005265,0240797,0001705,2636836,0001191,1062195]
3	[2582484,2078920,2592686,3246859,3627121,0933096,3768762,5886517,2532707,1659122,1154281,3113704,2006502,1588681,1906203,2443569,3579859,1731680]
4	[0919798,0628170,0191906,0911589,0267724,0698413,0194201,0705014,0001728,0363641,0528802,0569680,0074036]
5	[0919798,0191906,0123553,0267724,0698413,0152839,0224007,0667326,0071818,0534134,0001773,0363641,0074036]
6	[2837726,2467078,2502276,3219947,2378090,2885597,4472415,2831141,3076752,2706987]
7	[3157537,3682346,4558762,4707354,0416673,4488891,1573849,6812221,4190344,4473191]
8	[3157537,3682346,4558762,0416673,4488891,1573849,4619754,0864490,4190344,4473191]
