0	[0672330,0776584,6684214,0000288,4388566,2645470,7243419,6600863,0709738,4473191,3409681,0878807,4996428,5224790,4574961,0224007,1305056,6059922,2305508,0001675,0575339,4825396,1057928,4819590,1380939,2551736,2205372,0164682,2370389,2356237,1759449,3579859,2998353,1303155,4685068,3263226,6283590,4056050,2795989,6639338,1938820,0308780,0001484,1881743,3959870,1251245,2186275,2547611,2488465,2653515,0913585,0000686,0331162,5337884,0001507,2153711,4238227,3982621,0154914,2067832,3725085,0155124,1096712,0795297,0607703,6284241,0646496,2931166,0143344,0001152,4558762,0333605,4476832,0754550,2622717,3163218,4291105,0001431,0004873,3878711,3409270,0715788,0528331,0195844,0565117,3286145,0000210,0840285,6639701,1369571,0000190,0662960,0184748,0861574,3880598,0890709,6431321,0912647,2180419,6143975,6208245,0640891,0563624,0975225,0000217,1733365,0307531,4230755,0878152,0878153,5279863,2803896,1767280,6725774,4480637,3419705,0000323,2443569,0129538,0000115,0818874,5196287,0553440,3979145,6812568,2994980,1591432,0341174,3246859,6134323,0778769,3453514,5164168,0492451,6554157,3076752,6668463,2257150,0000104,6067658,5222941,0184445,6497858,3990096,4437821,3039524,3983440,1152992,3863312,3083875,1959019,0853566,2144181,4098984,7011576,2078920,4082182,2592686,1914282,5096634,0159609,0197058,1896358,0898546,0767741,0635847,6140184,4530384,3156315,2735460,2429599,0662981,5901148,6688403,0168387,5763676,1534888,0002520,2467078,5566975,0406282,3077057,5972904,5779376,5886710,2835839,1778587,4707354,2678364,0569289,2502754,5131058,0802831,0000161,0660057,2356797,0242656,1770183,0943942,2931894,5301845,5676454,0454236,0416673,2555012,3957948,0240797,4481516,4030055,5454624,2790180,1093842,0144831,4889792,0000317,0344196,4699234,0906000,0866300,1154281,0000490,2803854,0222881,2100898,0210584,3785197,5037761,2929565,2871160,4510266,0602821,1664127,0534134,6584798,2676738,2016707,3491108,4377706,0949350,2883904,0531333,4819572,0000146,0725975,0337157,4100566,0350079,6395310,4439147,0000230,0000228,7147345,2450269,2403319,5254672,4685775,5296544,0609231,7494652,5137870,4752751,4217229,1906203,1315402,0176224,0733162,6000961,1659122,0077512,3539674,0743735,6093472,2502276,2502275,2909368,4099356,3726530,7245921,2200128,5450420,5508146,0000134,0823563,0851317,2963760,2582484,0675887,0668679,3113704,2007055,3109702,2006502,0152430,4516759,0930061,0074036,6932932,0033165,6049834,6962180,5182553,0126070,3413370,5857646,0390259,5302698,2194611,6339290,1205024,4693894,1501093,5064101,4305826,2404349,4229277,0108703,0005265,4644982,0001728,1897496,5890344,0001724,6812221,2706987,4206690,6609111,6731945,0628170,1676221,2281637,2356508,5661359,1815608,0235390,0000658,5613528,4119932,3984374,6211091,4275920,6412456,7753009,2437062,1887818,4518557,3404215,6625817,1908927,3182681,1938969,5090072,4080079,2056936,2238217,0001855,0000678,3671362,0932847,0784784,0778734,2452869,5022450,4987843,7510944,3681508,0001413,5303206,5095287,0701818,7680705,0048379,5520719,3647254,0754512,0923902,1419241,3951683,0000215,6652600,6338912,0254862,6286101,0033977,1891863,3246446,5326614,4460264,1976643,7196958,0200601,2519780,4100633,0267724,0237222,2648761,5664097,3449807,3016933,0000177,4345277,4570367,2873452,6844763,2749436,1588681,5416338,0864490,0163703,2932094,4504897,1517407,5451081,4817232,1076079,0164873,1895632,2682781,5687602,0290064,0001674,0001673,0249029,5041286,2666575,0129049,7111681,6306957,0507097,0263625,0114177,1979259,0265670,4241215,1008015,0000401,5268746,4122314,0228171,2885597,4938931,2007000,4099787,2773552,7243832,1942232,0588241,6731951,5521576,4451774,2758676,5244541,0303316,3644754,5202431,0748973,3033469,2669049,0281693,0629634,2415494,1463169,3576458,0447376,5344055,6873070,0728872,1782876,0911320,2665507,1566354,0521781,5175557,0001773,3785597,4726046,2976898,0005450,5167703,3433646,0660244,3004200,1987569,0687321,4766432,3927383,0667326,3998533,0657330,3764108,0000172,6926455,6827483,1283209,3046284,3096946,3864537,0046033,6204946,3969329,5467592,3219947,1881080,3582715,5218156,0440885,0001804,0001806,4190344,0001803,3512591,2378090,3845763,5102780,3587960,0000609,3682346,1040127,0316310,7052041,2542413,0352778,0154728,5886517,0194201,0000233,4371164,5238172,1946675,3096939,0621597,3627344,2728454,6825817,0000434,0000732,3121909,0262301,7637932,0528149,3187553,2501560,4168892,3451964,0267772,2958419,7768049,0280850,4860212,0045937,0666517,6545104,0788335,0352513,3578998,0147312,5168285,0000741,1422549,4092658,0071818,0884230,3605836,0034519,0010278,5535451,0633750,7269050,3992401,0822812,6923722,0825627,2744237,0898634,2154195,0332942,3627121,5356479,5362352,4619754,0000502,3945152,2608420,2684369,4035779,2772986,7236038,2830634,1141100,2925573,6085634,4731168,0831254,1733117,0705014,7797494,1569488,3824607,0001735,0000582,0660321,0191906,0227874,4363694,0933612,5616401,3151395,2831141,1924756,2706788,1476783,2636836,1042824,5860659,2852924,0281788,0000111,4650037,0671023,0574513,0687560,0000902,2674188,5882938,1591232,3603628,4024978,0346415,2171261,0001848,2802473,3574141,2325458,4465984,4782621,3098424,2313440,0569501,0919798,3783201,1089398,0001363,4396550,0665101,0911589,5039188,0000666,5110234,1208510,3208214,5457419,0001201,2900021,2924997,2453729,2393583,0864222,1994576,1940953,5172406,3834161,0000347,2185188,0000349,6601529,2217844,5280225,1034481,2448633,0859150,2865453,2477992,0853122,3034273,0367445,1384284,2780564,0000168,2082525,0000242,7407816,0000246,4596873,0878155,0000164,0841910,0000535,2837726,6047588,3848723,6916495,0877599,5167269,2576863,0000114,3241158,2279227,0381043,0531539,3762501,0482851,1648743,3649055,6053751,0636140,2732159,4152547,0698413,5195569,6262774,3768762,0201700,0933096,3720966,4304151,1694797,0825805,0416532,4494587,0005218,7175572,0004365,3979907,0379200,6741220,2242385,3014081,5801090,0281486,2728461,5241466,5548632,4099195,1182080,0322282,5104141,5375536,2460265,0001447,0174252,0580210,4322835,0003861,6139029,2213168,0171470,2684211,0891786,6388724,0191520,3296183,4492426,4597836,5528958,0990415,4472415,0165825,5341176,0001705,3125612,6753439,6330457,0819435,3643116,5382258,6998071,7014467,4714035,0296546,0379056,0706619,0397555,5836233,0928560,2426419,3772149,1736710,2468237,6731963,1971248,0109359,0000474,4870473,1622877,0003069,7026377,0146786,3204509,0658152,0947742,0001832,3899420,3732165,2832704,4072891,2904710,6455317,6324870,3982454,4930389,2163847,2228499,0001233,0566279,4066642,1814166,5345545,7181059,0000150,4786981,0015907,3188373,0820660,3904344,6779676,0923840,0741893,2105259,0000532,4578554,2253765,5815595,3513760,0000101,5686451,0569680,2247901,0086840,2305137,0778737,0123553,5238611,0469928,2315863,2490721,0303284,2282924,6354402,2302367,1062195,0094903,2269029,1947550,0097274,7282284,1585038,1962017,3976572,3115167,0047663,4614651,4449136,0577329,0111445,0001303,0000422,0633195,0408284,4303879,4285235,6429650,1020877,3145630,5307554,3262618,4562425,3984816,0298412,3599667,1990230,0614165,1885015,4679754,4582343,2959080,2591895,6334390,4874683,6297951,4338070,3044622,4615536,1370807,3657833,2331994,3690152,0001475,0363641,2948463,6867344,4101059,5237201,4516095,5440359,3733933,4084424,0152839,0689237,1928260,6166435,2415526,0724665,1551999,0888456,1543089,4820314,1102891,2902428,6066408,0528802,0397212,0001191,4553772,0191450,0582418,3157537,0566234,0001378,0665114,4026413,0354937,2374610,3145447,4098925,4158239,2950640,6004313,6947118,0754676,4488891,5646304,3363398,1863451,1683193,6825023,3055893,0001772,6452660,1817166,1731680,0000155,1005663,0000151,0097842,0893247,3075140,0599907,0000095,0000092,0000158,1573849,0000093,2880343,0002064,3011374,0682886,3249131,1807392,2532707,2875453,5215140,4198093,6644386,4792767,0665830,6898238,6042562,2782582,1955504,4663027,0004517,3417496,0387900,0697069]
1	[0434676,0376347,0171938,0000154,0870729,0328987,0033749,0741959,0522306,0646869,0808077,0514093,0938159,0569079,0876166,0933918,0933919,0385649,0000418,0217418,0363594]
2	[0736622,0085312,0764445,0002071,0841910,1144419,0005561,0472710,1672246,1063517,0148418,0290556,1099085,0000163,0570912,0909768,0000604,2002649,0771414,0725200,0006670,1443527,0303013,0644022,1325419,0001774,0004715,0000413,0059431,0001401,0272401,0000681,1065229,0287182,0519043,2395586,0004395,0732497,0004873,0748620,0001674,0071304,0731168,1676221,0663177,0788340,2554352,0124930,0052446,0352778,0557874,0688132,2106637,0462712,0005467,1111656,0830243,0035488,1443478,0270139,0224007,0136797,0852132,1159180,1802209,1706767,0005562,0189144]
3	[0000205,0000837,0571106,0588777,0506405,0001573,0528331,0006713,0005405,0733427,0668372,0383422,0177639,0001302]
4	[1501738,0335275,0290556,0818055]
5	[0505764,0034519,0546797]
6	[0000092,0005092,0000104,0000552,0000139]
7	[1860088,2754855,1399446,2669401,2598733,0146268,3351036,2599208,2779142,2782855,2397098,0486265,1347896,3185369,2326016,1693977,2632648,1273857,2676374,1955504,1725818,2157754]
8	[5599495,4837209,2506300,4701008,5855226,5360921,4797671,5687164,6847003,6620079,4051209,5195435,5979166,5589321]
9	[0164873,1074549,0614181,1074351,0005417,0148808,0318392,0430031,1497272,0338715,0268368,0087478,0283475,0230027]
